"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (MXN)",Impresiones,Alcance,"Contactos de mensajes totales","Nuevos contactos de mensajes",Compras,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Costo por compra (MXN)","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-06-18,2026-07-19,reel,not_delivering,56,actions:onsite_conversion.messaging_conversation_started_7d,7.08125,"Con el presupuesto de la campaña",0,396.55,17859,7840,62,55,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,"post 1",not_delivering,8,actions:onsite_conversion.messaging_conversation_started_7d,11.79125,"Con el presupuesto de la campaña",0,94.33,3448,1820,10,7,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,"post 2",not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,28.36,"Con el presupuesto de la campaña",0,28.36,1010,623,2,1,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,"post 3",not_delivering,26,actions:onsite_conversion.messaging_conversation_started_7d,7.165,"Con el presupuesto de la campaña",0,186.29,11605,6535,31,26,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,"post 4",not_delivering,220,actions:onsite_conversion.messaging_conversation_started_7d,7.46663636,"Con el presupuesto de la campaña",0,1642.66,99190,32519,238,220,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,"curso de verano",inactive,42,actions:onsite_conversion.messaging_conversation_started_7d,12.36071429,"Con el presupuesto de la campaña",0,519.15,19756,8899,51,41,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
2026-06-18,2026-07-19,pretemporada,inactive,4,actions:onsite_conversion.messaging_conversation_started_7d,32.5375,"Con el presupuesto de la campaña",0,130.15,4880,3370,6,4,,2026-07-18,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-06-29T19:46:15-0600,-,-,-,"liga chitiva julio",,,
