"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (MXN)",Impresiones,Alcance,"Contactos de mensajes totales","Nuevos contactos de mensajes",Compras,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Costo por compra (MXN)","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-07-05,2026-08-05,"reel complejo",not_delivering,695,actions:onsite_conversion.messaging_conversation_started_7d,3.33297842,"Con el presupuesto de la campaña",0,2316.42,119838,45447,777,693,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,Promedio,"Por encima del promedio","Por encima del promedio",complejo,,,
2026-07-05,2026-08-05,"entrenamiento funcional",not_delivering,9,actions:onsite_conversion.messaging_conversation_started_7d,1.74666667,"Con el presupuesto de la campaña",0,15.72,881,690,12,8,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,pádel,not_delivering,1,actions:onsite_conversion.messaging_conversation_started_7d,9.44,"Con el presupuesto de la campaña",0,9.44,367,250,2,1,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,"curso de verano",inactive,,,,"Con el presupuesto de la campaña",0,0.11,6,6,,,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,"reel  curso largo",inactive,8,actions:onsite_conversion.messaging_conversation_started_7d,1.6975,"Con el presupuesto de la campaña",0,13.58,579,435,8,8,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,"reel curso corto",inactive,2,actions:onsite_conversion.messaging_conversation_started_7d,2.12,"Con el presupuesto de la campaña",0,4.24,171,138,2,2,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,"20 equipos",not_delivering,74,actions:onsite_conversion.messaging_conversation_started_7d,6.94472973,"Con el presupuesto de la campaña",0,513.91,42081,16339,87,69,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,-,-,-,complejo,,,
2026-07-05,2026-08-05,"reel - Copia",not_delivering,26,actions:onsite_conversion.messaging_conversation_started_7d,4.52346154,"Con el presupuesto de la campaña",0,117.61,7454,5177,28,23,,2026-08-02,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-07-28T23:11:13-0600,Promedio,"Por encima del promedio","Por encima del promedio",complejo,,,
